district,zone,lat,lon,ghi_2005,ghi_2023,pct_change
Dolpa,High Mountain,29.05,82.8,1881.1,1809.1,-3.83
Parbat,Western Hills,28.38,83.66,1594.6,1536.9,-3.62
Sindhupalchok,Central Hills,27.95,85.68,1595.9,1541.2,-3.42
Baglung,Western Hills,28.27,83.59,1685.6,1628.2,-3.4
Mustang,High Mountain,28.98,83.85,2075.1,2007.3,-3.27
Rolpa,Mid-West Hills,28.23,82.65,1662.4,1620.3,-2.53
Kailali,Far-West Terai,28.77,80.87,1787.7,1743.7,-2.46
Gulmi,Western Hills,28.08,83.26,1622.5,1584.5,-2.34
Dang,Inner Terai,28.1,82.3,1854.8,1812.1,-2.3
Dadeldhura,Far-West Hills,29.3,80.58,1717.4,1679.6,-2.2
Kanchanpur,Far-West Terai,29.14,80.27,1787.9,1749.2,-2.17
Bardiya,Mid-West Terai,28.35,81.26,1850.8,1812.1,-2.09
Banke,Mid-West Terai,28.05,81.62,1863.4,1826.4,-1.99
Sankhuwasabha,Eastern Mountain,27.35,87.27,1685.4,1652.3,-1.97
Gorkha,Central Hills,28.0,84.63,1654.7,1626.0,-1.73
Humla,High Mountain,29.97,82.15,1756.6,1729.9,-1.52
Tanahun,Western Hills,27.92,84.25,1696.5,1673.7,-1.35
Palpa,Western Hills,27.87,83.54,1739.9,1716.6,-1.34
Ramechhap,Eastern Hills,27.33,86.08,1689.5,1667.2,-1.32
Arghakhanchi,Western Hills,27.97,83.17,1728.6,1708.5,-1.16
Nawalpur,Inner Terai,27.69,84.13,1751.6,1735.8,-0.9
Nawalparasi,Western Terai,27.57,83.7,1786.6,1771.4,-0.85
Kapilvastu,Western Terai,27.57,83.05,1836.6,1822.2,-0.78
Rupandehi,Western Terai,27.57,83.45,1813.7,1799.7,-0.77
Parsa,Madhesh Terai,27.13,84.98,1833.3,1824.7,-0.47
Bara,Madhesh Terai,27.0,85.0,1850.3,1848.0,-0.12
Sarlahi,Madhesh Terai,27.1,85.55,1794.2,1796.9,0.15
Rautahat,Madhesh Terai,27.0,85.3,1839.5,1844.2,0.25
Mahottari,Madhesh Terai,26.91,85.73,1822.0,1830.0,0.44
Dhanusha,Madhesh Terai,26.87,85.93,1796.8,1805.5,0.48
Sunsari,Eastern Terai,26.8,87.18,1639.0,1649.1,0.62
Siraha,Eastern Terai,26.65,86.19,1785.2,1799.6,0.81
Jhapa,Eastern Terai,26.6,87.92,1632.5,1672.8,2.47
