location,zone,month,GHI_monthly,DNI_monthly
Arghakhanchi,Western Hills,1,109.93315789473684,148.4657894736842
Arghakhanchi,Western Hills,2,122.51631578947368,144.37315789473686
Arghakhanchi,Western Hills,3,173.30263157894737,191.02052631578945
Arghakhanchi,Western Hills,4,194.4157894736842,198.3621052631579
Arghakhanchi,Western Hills,5,192.99,175.22368421052633
Arghakhanchi,Western Hills,6,153.77947368421053,120.80684210526316
Arghakhanchi,Western Hills,7,115.85105263157895,71.04684210526317
Arghakhanchi,Western Hills,8,118.44000000000001,79.63947368421051
Arghakhanchi,Western Hills,9,120.9857894736842,100.87105263157895
Arghakhanchi,Western Hills,10,134.84315789473683,152.67736842105262
Arghakhanchi,Western Hills,11,110.12105263157896,140.9657894736842
Arghakhanchi,Western Hills,12,101.79526315789474,143.56526315789472
Baglung,Western Hills,1,115.26736842105262,178.40421052631578
Baglung,Western Hills,2,122.65526315789472,169.1121052631579
Baglung,Western Hills,3,171.67473684210526,201.92105263157896
Baglung,Western Hills,4,185.1021052631579,186.02421052631578
Baglung,Western Hills,5,178.44736842105263,157.23210526315788
Baglung,Western Hills,6,137.56157894736842,101.3157894736842
Baglung,Western Hills,7,103.67210526315789,55.00368421052631
Baglung,Western Hills,8,107.36842105263158,64.72631578947369
Baglung,Western Hills,9,116.14736842105265,98.20157894736842
Baglung,Western Hills,10,135.38631578947368,160.15684210526317
Baglung,Western Hills,11,115.41736842105263,168.7342105263158
Baglung,Western Hills,12,109.99421052631578,184.3121052631579
Banke,Mid-West Terai,1,121.01578947368422,186.77631578947367
Banke,Mid-West Terai,2,135.2757894736842,185.48157894736843
Banke,Mid-West Terai,3,186.70684210526315,230.46368421052634
Banke,Mid-West Terai,4,207.3594736842105,236.47578947368422
Banke,Mid-West Terai,5,214.56947368421052,224.44789473684213
Banke,Mid-West Terai,6,174.15947368421052,159.3478947368421
Banke,Mid-West Terai,7,124.28105263157896,84.45105263157895
Banke,Mid-West Terai,8,128.1157894736842,96.40105263157895
Banke,Mid-West Terai,9,132.81684210526316,124.40052631578948
Banke,Mid-West Terai,10,146.76684210526318,185.66842105263157
Banke,Mid-West Terai,11,126.3521052631579,193.2821052631579
Banke,Mid-West Terai,12,115.97894736842105,188.7563157894737
Bara,Madhesh Terai,1,125.81263157894738,198.4936842105263
Bara,Madhesh Terai,2,138.97894736842105,191.6942105263158
Bara,Madhesh Terai,3,187.9063157894737,228.55315789473684
Bara,Madhesh Terai,4,203.21894736842106,227.3136842105263
Bara,Madhesh Terai,5,202.17736842105262,202.98210526315788
Bara,Madhesh Terai,6,163.04684210526315,141.00736842105263
Bara,Madhesh Terai,7,126.6042105263158,88.32157894736842
Bara,Madhesh Terai,8,129.7305263157895,98.28578947368422
Bara,Madhesh Terai,9,127.45894736842104,116.00894736842106
Bara,Madhesh Terai,10,143.29315789473685,173.09473684210525
Bara,Madhesh Terai,11,129.71263157894737,191.02421052631578
Bara,Madhesh Terai,12,119.34526315789473,194.56842105263158
Bardiya,Mid-West Terai,1,119.01052631578946,182.79894736842104
Bardiya,Mid-West Terai,2,133.96947368421053,182.79736842105262
Bardiya,Mid-West Terai,3,185.98684210526315,230.43
Bardiya,Mid-West Terai,4,206.48894736842104,235.24894736842109
Bardiya,Mid-West Terai,5,213.85315789473685,223.09157894736842
Bardiya,Mid-West Terai,6,174.31263157894736,159.4221052631579
Bardiya,Mid-West Terai,7,120.99421052631578,80.16526315789474
Bardiya,Mid-West Terai,8,125.31052631578947,92.64368421052632
Bardiya,Mid-West Terai,9,132.3178947368421,123.62526315789474
Bardiya,Mid-West Terai,10,146.79999999999998,186.79526315789474
Bardiya,Mid-West Terai,11,125.03157894736842,192.05894736842106
Bardiya,Mid-West Terai,12,114.31947368421054,185.46263157894737
Dadeldhura,Far-West Hills,1,116.28000000000002,188.58052631578946
Dadeldhura,Far-West Hills,2,125.80999999999999,168.08157894736843
Dadeldhura,Far-West Hills,3,171.05052631578948,196.60526315789474
Dadeldhura,Far-West Hills,4,189.9078947368421,201.41526315789474
Dadeldhura,Far-West Hills,5,192.9215789473684,180.53052631578947
Dadeldhura,Far-West Hills,6,158.18052631578948,130.09157894736842
Dadeldhura,Far-West Hills,7,106.5521052631579,61.12157894736842
Dadeldhura,Far-West Hills,8,108.18631578947368,68.95526315789475
Dadeldhura,Far-West Hills,9,125.67315789473685,112.90157894736842
Dadeldhura,Far-West Hills,10,140.61684210526315,173.8678947368421
Dadeldhura,Far-West Hills,11,121.66894736842106,182.32736842105263
Dadeldhura,Far-West Hills,12,113.85526315789474,192.10789473684213
Dang,Inner Terai,1,124.72684210526316,197.44947368421052
Dang,Inner Terai,2,136.04999999999998,188.30947368421053
Dang,Inner Terai,3,186.01052631578946,227.4973684210526
Dang,Inner Terai,4,204.79105263157896,232.74105263157895
Dang,Inner Terai,5,208.93157894736842,215.7947368421053
Dang,Inner Terai,6,166.97526315789472,149.47052631578947
Dang,Inner Terai,7,120.67421052631579,79.2321052631579
Dang,Inner Terai,8,124.15421052631578,90.68736842105262
Dang,Inner Terai,9,129.27315789473684,118.61736842105263
Dang,Inner Terai,10,143.74,179.6378947368421
