location,zone,year,GHI_annual
Arghakhanchi,Western Hills,2005,1728.57
Arghakhanchi,Western Hills,2006,1700.26
Arghakhanchi,Western Hills,2007,1602.21
Arghakhanchi,Western Hills,2008,1632.65
Arghakhanchi,Western Hills,2009,1733.34
Arghakhanchi,Western Hills,2010,1689.6
Arghakhanchi,Western Hills,2011,1644.26
Arghakhanchi,Western Hills,2012,1750.08
Arghakhanchi,Western Hills,2013,1583.99
Arghakhanchi,Western Hills,2014,1665.27
Arghakhanchi,Western Hills,2015,1642.95
Arghakhanchi,Western Hills,2016,1601.91
Arghakhanchi,Western Hills,2017,1620.92
Arghakhanchi,Western Hills,2018,1647.62
Arghakhanchi,Western Hills,2019,1640.56
Arghakhanchi,Western Hills,2020,1551.84
Arghakhanchi,Western Hills,2021,1546.69
Arghakhanchi,Western Hills,2022,1639.31
Arghakhanchi,Western Hills,2023,1708.47
Baglung,Western Hills,2005,1685.56
Baglung,Western Hills,2006,1659.53
Baglung,Western Hills,2007,1554.67
Baglung,Western Hills,2008,1597.31
Baglung,Western Hills,2009,1700.22
Baglung,Western Hills,2010,1648.46
Baglung,Western Hills,2011,1563.06
Baglung,Western Hills,2012,1705.21
Baglung,Western Hills,2013,1547.11
Baglung,Western Hills,2014,1638.95
Baglung,Western Hills,2015,1599.1200000000001
Baglung,Western Hills,2016,1539.07
Baglung,Western Hills,2017,1590.89
Baglung,Western Hills,2018,1567.59
Baglung,Western Hills,2019,1590.77
Baglung,Western Hills,2020,1499.44
Baglung,Western Hills,2021,1480.45
Baglung,Western Hills,2022,1579.59
Baglung,Western Hills,2023,1628.19
Banke,Mid-West Terai,2005,1863.3999999999999
Banke,Mid-West Terai,2006,1868.7
Banke,Mid-West Terai,2007,1782.7
Banke,Mid-West Terai,2008,1769.62
Banke,Mid-West Terai,2009,1900.6200000000001
Banke,Mid-West Terai,2010,1828.98
Banke,Mid-West Terai,2011,1818.58
Banke,Mid-West Terai,2012,1891.84
Banke,Mid-West Terai,2013,1745.31
Banke,Mid-West Terai,2014,1856.99
Banke,Mid-West Terai,2015,1815.11
Banke,Mid-West Terai,2016,1786.75
Banke,Mid-West Terai,2017,1813.92
Banke,Mid-West Terai,2018,1840.25
Banke,Mid-West Terai,2019,1782.18
Banke,Mid-West Terai,2020,1739.29
Banke,Mid-West Terai,2021,1707.84
Banke,Mid-West Terai,2022,1816.13
Banke,Mid-West Terai,2023,1826.36
Bara,Madhesh Terai,2005,1850.28
Bara,Madhesh Terai,2006,1845.31
Bara,Madhesh Terai,2007,1748.53
Bara,Madhesh Terai,2008,1773.71
Bara,Madhesh Terai,2009,1861.1200000000001
Bara,Madhesh Terai,2010,1835.69
Bara,Madhesh Terai,2011,1778.8
Bara,Madhesh Terai,2012,1885.8899999999999
Bara,Madhesh Terai,2013,1779.3600000000001
Bara,Madhesh Terai,2014,1790.32
Bara,Madhesh Terai,2015,1791.85
Bara,Madhesh Terai,2016,1752.7
Bara,Madhesh Terai,2017,1771.57
Bara,Madhesh Terai,2018,1816.26
Bara,Madhesh Terai,2019,1794.61
Bara,Madhesh Terai,2020,1695.15
Bara,Madhesh Terai,2021,1717.78
Bara,Madhesh Terai,2022,1811.47
Bara,Madhesh Terai,2023,1848.03
Bardiya,Mid-West Terai,2005,1850.83
Bardiya,Mid-West Terai,2006,1851.28
Bardiya,Mid-West Terai,2007,1770.32
Bardiya,Mid-West Terai,2008,1756.48
Bardiya,Mid-West Terai,2009,1886.09
Bardiya,Mid-West Terai,2010,1821.02
Bardiya,Mid-West Terai,2011,1797.77
Bardiya,Mid-West Terai,2012,1872.19
Bardiya,Mid-West Terai,2013,1727.73
Bardiya,Mid-West Terai,2014,1845.89
Bardiya,Mid-West Terai,2015,1795.97
Bardiya,Mid-West Terai,2016,1770.2
Bardiya,Mid-West Terai,2017,1803.12
Bardiya,Mid-West Terai,2018,1814.79
Bardiya,Mid-West Terai,2019,1770.4
Bardiya,Mid-West Terai,2020,1737.86
Bardiya,Mid-West Terai,2021,1693.08
Bardiya,Mid-West Terai,2022,1792.42
Bardiya,Mid-West Terai,2023,1812.07
Dadeldhura,Far-West Hills,2005,1717.37
Dadeldhura,Far-West Hills,2006,1701.41
Dadeldhura,Far-West Hills,2007,1627.39
Dadeldhura,Far-West Hills,2008,1636.95
Dadeldhura,Far-West Hills,2009,1775.9
Dadeldhura,Far-West Hills,2010,1724.8600000000001
Dadeldhura,Far-West Hills,2011,1632.44
Dadeldhura,Far-West Hills,2012,1726.3400000000001
Dadeldhura,Far-West Hills,2013,1617.08
Dadeldhura,Far-West Hills,2014,1705.7
Dadeldhura,Far-West Hills,2015,1674.64
Dadeldhura,Far-West Hills,2016,1646.54
Dadeldhura,Far-West Hills,2017,1653.33
Dadeldhura,Far-West Hills,2018,1654.75
Dadeldhura,Far-West Hills,2019,1664.04
Dadeldhura,Far-West Hills,2020,1635.7
Dadeldhura,Far-West Hills,2021,1611.8
Dadeldhura,Far-West Hills,2022,1657.51
Dadeldhura,Far-West Hills,2023,1679.61
Dang,Inner Terai,2005,1854.75
Dang,Inner Terai,2006,1837.4
Dang,Inner Terai,2007,1747.16
Dang,Inner Terai,2008,1758.28
Dang,Inner Terai,2009,1880.3700000000001
Dang,Inner Terai,2010,1822.3700000000001
Dang,Inner Terai,2011,1787.27
Dang,Inner Terai,2012,1883.2
Dang,Inner Terai,2013,1711.33
Dang,Inner Terai,2014,1835.51
Dang,Inner Terai,2015,1784.42
Dang,Inner Terai,2016,1748.71
Dang,Inner Terai,2017,1775.11
Dang,Inner Terai,2018,1805.0
Dang,Inner Terai,2019,1765.5800000000002
Dang,Inner Terai,2020,1697.26
Dang,Inner Terai,2021,1676.36
Dang,Inner Terai,2022,1792.9
Dang,Inner Terai,2023,1812.07
Dhanusha,Madhesh Terai,2005,1796.77
Dhanusha,Madhesh Terai,2006,1795.34
Dhanusha,Madhesh Terai,2007,1706.47
Dhanusha,Madhesh Terai,2008,1723.79
Dhanusha,Madhesh Terai,2009,1790.8600000000001
Dhanusha,Madhesh Terai,2010,1775.92
Dhanusha,Madhesh Terai,2011,1723.82
Dhanusha,Madhesh Terai,2012,1837.27
Dhanusha,Madhesh Terai,2013,1722.1200000000001
Dhanusha,Madhesh Terai,2014,1731.64
Dhanusha,Madhesh Terai,2015,1712.3600000000001
Dhanusha,Madhesh Terai,2016,1695.18
Dhanusha,Madhesh Terai,2017,1717.02
Dhanusha,Madhesh Terai,2018,1745.38
Dhanusha,Madhesh Terai,2019,1752.29
Dhanusha,Madhesh Terai,2020,1636.52
Dhanusha,Madhesh Terai,2021,1692.54
Dhanusha,Madhesh Terai,2022,1748.1100000000001
Dhanusha,Madhesh Terai,2023,1805.48
Dolpa,High Mountain,2005,1881.1200000000001
Dolpa,High Mountain,2006,1814.12
Dolpa,High Mountain,2007,1808.05
Dolpa,High Mountain,2008,1793.59
Dolpa,High Mountain,2009,1877.37
